location,city,country,pollutant,value,timestamp,unit,source_name,latitude,longitude,averaged_over_in_hours,location_geom
"Kędzierzyn-Koźle, ul. Śmiałego",Kędzierzyn-Koźle,PL,bc,1.21101,2022-05-14 19:00:00.000000 UTC,µg/m³,GIOS,1.0,50.349608,18.236575,POINT(50.349608 1)
"Rybnik, ul. Borki",Rybnik,PL,bc,0.87571,2022-05-17 06:00:00.000000 UTC,µg/m³,GIOS,1.0,50.111181,18.516139,POINT(50.111181 1)
"Żagań, ul. Kochanowskiego",Żagań,PL,bc,0.1161,2022-05-06 19:00:00.000000 UTC,µg/m³,GIOS,1.0,51.615447,15.301667,POINT(51.615447 1)
"Płock, ul. Królowej Jadwigi",Płock,PL,bc,0.16,2022-05-09 07:00:00.000000 UTC,µg/m³,GIOS,1.0,52.556279,19.687672,POINT(52.556279 1)
"Rzeszów, ul. Rejtana",Rzeszów,PL,bc,0.21042,2022-04-28 13:00:00.000000 UTC,µg/m³,GIOS,1.0,50.024242,22.010575,POINT(50.024242 1)
"Biała, ul. Kmicica",Biała,PL,bc,0.1,2022-05-03 12:00:00.000000 UTC,µg/m³,GIOS,1.0,52.602534,19.6451,POINT(52.602534 1)
"Kalisz, ul. Wyszyńskiego",Kalisz,PL,bc,0.18256,2022-04-29 17:00:00.000000 UTC,µg/m³,GIOS,1.0,51.748103,18.04931,POINT(51.748103 1)
"Starachowice, ul. Złota",Starachowice,PL,bc,0.71,2022-04-27 22:00:00.000000 UTC,µg/m³,GIOS,1.0,51.050611,21.084175,POINT(51.050611 1)
"Bydgoszcz, pl. Poznański",Bydgoszcz,PL,bc,0.3,2022-05-23 11:00:00.000000 UTC,µg/m³,GIOS,1.0,53.121774,17.987883,POINT(53.121774 1)
"Wałbrzych, ul. Wysockiego",Wałbrzych,PL,bc,1.32741,2022-05-11 18:00:00.000000 UTC,µg/m³,GIOS,1.0,50.768729,16.269677,POINT(50.768729 1)
"Koszalin, ul. Armii Krajowej",Koszalin,PL,bc,0.0,2022-05-15 05:00:00.000000 UTC,µg/m³,GIOS,1.0,54.193986,16.172544,POINT(54.193986 1)
"Kalisz, ul. Wyszyńskiego",Kalisz,PL,bc,0.20003,2022-05-16 07:00:00.000000 UTC,µg/m³,GIOS,1.0,51.748103,18.04931,POINT(51.748103 1)
"Koszalin, ul. Armii Krajowej",Koszalin,PL,bc,0.2604,2022-05-03 23:00:00.000000 UTC,µg/m³,GIOS,1.0,54.193986,16.172544,POINT(54.193986 1)
McMillan Reservoir,Washington-Arlington-Alexandria,US,bc,0.13,2022-05-08 04:00:00.000000 UTC,µg/m³,AirNow,1.0,38.921848,-77.013176,POINT(38.921848 1)
E Providence,Providence-New Bedford-Fall River,US,bc,0.12,2022-05-09 08:00:00.000000 UTC,µg/m³,AirNow,1.0,41.840302,-71.361702,POINT(41.840302 1)
E Providence,Providence-New Bedford-Fall River,US,bc,0.1,2022-05-15 14:00:00.000000 UTC,µg/m³,AirNow,1.0,41.840302,-71.361702,POINT(41.840302 1)
Oakland West,San Francisco-Oakland-Fremont,US,bc,0.27,2022-05-05 18:00:00.000000 UTC,µg/m³,AirNow,1.0,37.8148,-122.282402,POINT(37.8148 1)
İzmit-MTHM,Kocaeli,TR,co,1854.62,2022-04-04 05:00:00.000000 UTC,µg/m³,Turkey,1.0,40.76811,29.93812,POINT(40.76811 1)
Dobrota,Kotor,ME,co,180.0,2022-05-11 12:00:00.000000 UTC,µg/m³,Montenegro,1.0,42.465889,18.764574,POINT(42.465889 1)
CENTENARIO,Buenos Aires,AR,co,0.52,2022-05-09 06:00:00.000000 UTC,ppm,Buenos Aires,8.0,-34.60638,-58.43194,POINT(-34.60638 8)
